anime_id,status,type,episodes,start_year,rating,source,genres,themes,demographics
34857,finished_airing,music,1.0,2015.0,g,music,[],['Music'],[]
32856,finished_airing,music,1.0,2014.0,g,music,[],"['Music', 'Space']",[]
29954,finished_airing,ona,1.0,,g,original,['Avant Garde'],[],[]
39224,finished_airing,music,1.0,2019.0,g,original,[],"['Idols (Male)', 'Music']",[]
37802,finished_airing,ona,1.0,2018.0,g,game,['Slice of Life'],[],[]
11825,finished_airing,ova,1.0,1988.0,rx,,"['Comedy', 'Hentai']",['Historical'],[]
19125,finished_airing,special,1.0,1958.0,g,original,['Adventure'],[],['Kids']
11141,finished_airing,movie,1.0,1994.0,rx,,"['Action', 'Hentai']",[],[]
5611,finished_airing,ova,2.0,1999.0,rx,manga,['Hentai'],[],[]
17359,finished_airing,ova,10.0,2012.0,g,original,"['Comedy', 'Slice of Life']",[],[]
35683,finished_airing,movie,1.0,2018.0,,original,[],[],[]
38393,finished_airing,ova,1.0,2019.0,pg_13,game,['Action'],['Military'],[]
22427,finished_airing,music,1.0,1981.0,g,original,"['Adventure', 'Comedy', 'Sci-Fi']","['Music', 'Space']",['Kids']
13085,finished_airing,movie,1.0,,g,original,"['Comedy', 'Slice of Life']",[],[]
9801,finished_airing,special,1.0,,pg_13,original,['Avant Garde'],[],[]
23517,finished_airing,movie,1.0,1982.0,g,music,['Avant Garde'],['Music'],[]
28989,finished_airing,movie,1.0,2014.0,g,original,['Avant Garde'],['Music'],[]
38701,finished_airing,movie,1.0,,g,original,['Avant Garde'],[],[]
13515,finished_airing,ona,1.0,2011.0,pg_13,,['Comedy'],[],[]
37544,finished_airing,ona,1.0,2009.0,g,original,['Fantasy'],[],[]
33543,finished_airing,special,2.0,2013.0,g,original,"['Comedy', 'Sports']",[],[]
41102,finished_airing,movie,1.0,2017.0,g,original,['Fantasy'],['Music'],[]
37610,finished_airing,music,1.0,2015.0,g,original,[],['Music'],[]
38545,finished_airing,ona,2.0,2018.0,g,other,['Sci-Fi'],[],[]
22565,finished_airing,ova,1.0,2001.0,g,,['Fantasy'],[],['Kids']
31873,finished_airing,music,1.0,2005.0,g,original,[],['Music'],['Kids']
29905,finished_airing,movie,1.0,,g,original,['Avant Garde'],[],[]
10407,finished_airing,special,1.0,2011.0,g,,['Slice of Life'],['Performing Arts'],[]
33163,finished_airing,ona,2.0,2012.0,g,manga,['Comedy'],[],[]
15525,finished_airing,music,1.0,2010.0,g,original,[],['Music'],[]
29822,finished_airing,ona,4.0,2014.0,pg_13,,['Comedy'],['Parody'],[]
29897,finished_airing,movie,1.0,,g,original,[],['Historical'],[]
38756,finished_airing,music,1.0,2017.0,g,original,[],['Music'],[]
6091,finished_airing,ova,1.0,1992.0,r+,manga,"['Action', 'Mystery']",[],[]
3267,finished_airing,ova,4.0,2003.0,pg_13,game,['Fantasy'],[],[]
29895,finished_airing,movie,1.0,1947.0,g,original,[],[],['Kids']
22469,finished_airing,music,1.0,2002.0,g,,[],['Music'],['Kids']
39097,finished_airing,music,1.0,,pg,original,['Drama'],"['Military', 'Music']",[]
36159,finished_airing,music,1.0,2017.0,r+,original,[],['Music'],[]
6903,finished_airing,ova,1.0,2001.0,rx,,['Hentai'],[],[]
40040,finished_airing,tv,26.0,2019.0,g,original,['Comedy'],[],['Kids']
33908,finished_airing,music,1.0,2011.0,g,music,[],['Music'],[]
35383,finished_airing,tv,12.0,2017.0,pg,picture_book,"['Comedy', 'Fantasy']",['Historical'],[]
31747,finished_airing,tv,10.0,2015.0,g,music,['Comedy'],[],['Kids']
20869,finished_airing,ona,1.0,2012.0,g,original,"['Comedy', 'Fantasy']",[],[]
36636,finished_airing,ona,3.0,2011.0,g,original,"['Action', 'Comedy']",[],[]
38748,finished_airing,movie,1.0,2017.0,g,original,['Avant Garde'],[],[]
41637,finished_airing,ona,1.0,2019.0,pg_13,,['Fantasy'],['Video Game'],[]
33937,finished_airing,ona,1.0,2016.0,g,original,['Sci-Fi'],['Music'],[]
34958,finished_airing,movie,1.0,,g,,[],['Military'],[]
34955,finished_airing,movie,1.0,,g,,['Adventure'],[],[]
37733,finished_airing,music,1.0,2012.0,pg_13,music,[],['Music'],[]
3516,finished_airing,ova,5.0,2002.0,pg_13,,"['Comedy', 'Slice of Life']",[],[]
36172,finished_airing,music,1.0,2010.0,g,music,[],['Music'],[]
25591,finished_airing,ova,3.0,2001.0,r+,,"['Action', 'Adventure', 'Supernatural']",[],['Shounen']
22757,finished_airing,ona,8.0,2014.0,pg_13,game,"['Comedy', 'Slice of Life']",['School'],[]
37242,finished_airing,ona,2.0,2018.0,pg_13,game,"['Action', 'Sci-Fi']",['Mecha'],[]
8719,finished_airing,music,1.0,1966.0,g,music,['Slice of Life'],['Music'],['Kids']
4096,finished_airing,movie,1.0,,pg_13,other,[],['Historical'],[]
29908,finished_airing,movie,1.0,,g,original,[],['Psychological'],[]
32642,finished_airing,ona,1.0,2009.0,g,original,[],['Music'],[]
35387,finished_airing,movie,1.0,,g,original,['Drama'],"['Educational', 'Historical']",[]
13359,finished_airing,ona,1.0,2012.0,pg_13,,[],['Music'],[]
38977,finished_airing,ona,1.0,2011.0,g,original,['Avant Garde'],['Music'],[]
4557,finished_airing,ova,1.0,2002.0,rx,visual_novel,['Hentai'],[],[]
34860,finished_airing,music,1.0,2015.0,g,original,[],['Music'],[]
33914,finished_airing,ona,1.0,2016.0,pg_13,original,"['Avant Garde', 'Fantasy', 'Horror']",['Music'],[]
7155,finished_airing,ova,1.0,1989.0,rx,manga,"['Hentai', 'Sports']",[],[]
33871,finished_airing,ona,13.0,2016.0,g,original,"['Comedy', 'Sci-Fi']","['Historical', 'Racing']",[]
22165,finished_airing,movie,1.0,2008.0,pg_13,original,['Avant Garde'],[],[]
31749,finished_airing,ona,1.0,2015.0,pg,original,[],['Mecha'],[]
8486,finished_airing,ona,1.0,2010.0,g,,['Fantasy'],['Mecha'],[]
37285,finished_airing,ona,1.0,2018.0,g,other,[],"['Historical', 'Parody']",[]
39856,finished_airing,music,1.0,2018.0,g,original,['Gourmet'],"['Music', 'Strategy Game']",['Kids']
31695,finished_airing,music,1.0,1990.0,g,original,[],['Music'],['Kids']
32844,finished_airing,music,1.0,2014.0,g,music,[],['Music'],[]
7908,finished_airing,ova,1.0,1998.0,rx,manga,['Hentai'],[],[]
8471,finished_airing,ova,1.0,1985.0,rx,,['Hentai'],[],[]
40002,finished_airing,special,1.0,2019.0,g,original,['Avant Garde'],['Music'],[]
31512,finished_airing,ona,2.0,2014.0,g,original,['Slice of Life'],[],[]
25985,finished_airing,special,1.0,2004.0,g,original,"['Comedy', 'Sci-Fi']",[],['Kids']
37431,finished_airing,ona,1.0,2018.0,g,original,['Comedy'],[],[]
29311,finished_airing,movie,1.0,,g,music,[],['Music'],[]
41636,finished_airing,ona,20.0,2019.0,pg_13,,['Fantasy'],['Video Game'],[]
8645,finished_airing,music,1.0,1996.0,g,music,[],['Music'],['Kids']
17163,finished_airing,special,3.0,2011.0,g,original,"['Comedy', 'Slice of Life']",[],[]
5423,finished_airing,ova,1.0,1999.0,rx,manga,['Hentai'],[],[]
24633,finished_airing,music,1.0,2012.0,g,,[],['Music'],[]
31833,finished_airing,movie,1.0,2013.0,g,,[],[],[]
43417,finished_airing,special,1.0,2019.0,g,original,['Sports'],['Music'],[]
5557,finished_airing,ova,1.0,2001.0,rx,visual_novel,['Hentai'],[],[]
13303,finished_airing,ova,1.0,2012.0,,manga,[],"['High Stakes Game', 'Psychological', 'Strategy Game']",['Seinen']
39629,finished_airing,ona,3.0,2019.0,pg_13,game,['Fantasy'],['Historical'],[]
32259,finished_airing,ova,1.0,1987.0,g,original,['Slice of Life'],['Parody'],['Shoujo']
22571,finished_airing,ova,1.0,2001.0,g,,['Fantasy'],[],['Kids']
22611,finished_airing,ova,1.0,1993.0,g,,['Fantasy'],[],['Kids']
34519,finished_airing,special,9.0,2014.0,pg,original,"['Comedy', 'Sports']","['Mecha', 'Parody']",[]
42451,finished_airing,ova,1.0,,pg,game,"['Adventure', 'Fantasy']",[],['Kids']
17161,finished_airing,special,1.0,2010.0,g,original,"['Comedy', 'Slice of Life']",[],[]
32291,finished_airing,ona,1.0,2012.0,pg,original,['Drama'],[],[]
49922,finished_airing,special,1.0,2010.0,rx,visual_novel,['Hentai'],[],[]
39095,finished_airing,music,1.0,2010.0,g,original,['Romance'],['Music'],[]
5560,finished_airing,ova,1.0,2003.0,rx,,['Hentai'],[],[]
42490,finished_airing,ona,40.0,2019.0,pg_13,,['Comedy'],[],[]
12165,finished_airing,special,1.0,1986.0,g,,[],['Historical'],['Shoujo']
35294,finished_airing,music,1.0,2013.0,pg_13,music,[],['Music'],[]
